epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3574.87,0.66642,0.38753,0.93915,0.90655,0.83654,0.89381,0.63866,0.72915,0.40267,0.99954,0.000848969,0.000848969,0.000848969
43,3659.92,0.64827,0.37794,0.9319,0.90636,0.82934,0.8939,0.63511,0.73354,0.4116,1.00183,0.000834822,0.000834822,0.000834822
44,3743.83,0.65301,0.37792,0.93254,0.90963,0.8404,0.90331,0.64318,0.71631,0.39804,0.99944,0.000820675,0.000820675,0.000820675
45,3828.94,0.64829,0.37592,0.93101,0.91169,0.84208,0.90243,0.64563,0.71948,0.39221,0.99358,0.000806528,0.000806528,0.000806528
46,3914.03,0.63931,0.3713,0.9214,0.90072,0.84862,0.89824,0.64316,0.72178,0.40159,0.99733,0.00079238,0.00079238,0.00079238
47,3997.7,0.63607,0.36845,0.92469,0.90434,0.84887,0.90301,0.64648,0.71296,0.39232,0.99687,0.000778233,0.000778233,0.000778233
48,4082.69,0.62642,0.3628,0.91789,0.91503,0.83976,0.90125,0.64874,0.70293,0.38298,0.98621,0.000764086,0.000764086,0.000764086
49,4167.37,0.62222,0.35715,0.9126,0.90535,0.83908,0.90041,0.64721,0.70794,0.38685,0.98686,0.000749939,0.000749939,0.000749939
50,4251.04,0.61532,0.35418,0.90774,0.89922,0.84768,0.89998,0.64363,0.70548,0.38555,0.99,0.000735792,0.000735792,0.000735792
51,4334.66,0.61686,0.35511,0.91834,0.89911,0.85451,0.90069,0.6524,0.6999,0.38492,0.98894,0.000721645,0.000721645,0.000721645
52,4419.26,0.60731,0.34932,0.90912,0.90854,0.85274,0.9023,0.65308,0.69361,0.38168,0.98758,0.000707498,0.000707498,0.000707498
53,4503.69,0.59795,0.34341,0.90462,0.91117,0.85329,0.9041,0.65816,0.6908,0.37278,0.98329,0.000693351,0.000693351,0.000693351
54,4588.58,0.59811,0.3431,0.90773,0.89625,0.85859,0.90384,0.65622,0.69587,0.38116,0.98976,0.000679204,0.000679204,0.000679204
55,4672.16,0.5946,0.34055,0.90626,0.91033,0.85095,0.90184,0.65721,0.68403,0.37113,0.98295,0.000665057,0.000665057,0.000665057
56,4755.83,0.58793,0.33867,0.90407,0.9248,0.84137,0.90428,0.65623,0.68897,0.37612,0.98576,0.000650909,0.000650909,0.000650909
57,4839.55,0.58072,0.33441,0.89996,0.92186,0.84807,0.90592,0.66088,0.6809,0.37103,0.98304,0.000636762,0.000636762,0.000636762
58,4924.15,0.57629,0.33041,0.89598,0.91715,0.8485,0.9048,0.65916,0.6853,0.3721,0.97964,0.000622615,0.000622615,0.000622615
59,5007.83,0.57527,0.32744,0.89607,0.92491,0.85034,0.9082,0.66483,0.6788,0.3663,0.9848,0.000608468,0.000608468,0.000608468
60,5092.42,0.56492,0.32474,0.89281,0.9283,0.84634,0.90842,0.66261,0.67569,0.36536,0.97967,0.000594321,0.000594321,0.000594321
61,5175.95,0.56514,0.3228,0.89044,0.91413,0.84968,0.90644,0.66108,0.67738,0.36997,0.97982,0.000580174,0.000580174,0.000580174
62,5259.53,0.55759,0.32073,0.88748,0.92025,0.84846,0.90626,0.66267,0.67038,0.36395,0.97489,0.000566027,0.000566027,0.000566027
63,5343.19,0.55232,0.31597,0.88626,0.91377,0.84994,0.9022,0.65895,0.66933,0.36296,0.97878,0.00055188,0.00055188,0.00055188
64,5426.77,0.54725,0.31061,0.88457,0.91447,0.85446,0.90792,0.66326,0.67025,0.36464,0.97712,0.000537733,0.000537733,0.000537733
65,5510.44,0.54714,0.31359,0.88435,0.91245,0.85746,0.90199,0.65917,0.67021,0.36208,0.97569,0.000523586,0.000523586,0.000523586
66,5594,0.53454,0.30681,0.88214,0.91319,0.85778,0.90495,0.66659,0.6694,0.36162,0.98015,0.000509438,0.000509438,0.000509438
67,5678.68,0.5405,0.3073,0.88088,0.90842,0.86284,0.9006,0.6632,0.66213,0.35816,0.97444,0.000495291,0.000495291,0.000495291
68,5762.42,0.53248,0.30141,0.87606,0.91531,0.8634,0.90928,0.66765,0.66335,0.36099,0.97621,0.000481144,0.000481144,0.000481144
69,5847.47,0.52715,0.30159,0.87325,0.91682,0.86363,0.90958,0.66692,0.66077,0.35436,0.97593,0.000466997,0.000466997,0.000466997
70,5931.26,0.52221,0.2972,0.87727,0.90801,0.86717,0.90617,0.66622,0.65879,0.35655,0.97504,0.00045285,0.00045285,0.00045285
71,6014.89,0.5147,0.29416,0.87022,0.92695,0.85323,0.90606,0.66814,0.65664,0.35375,0.97337,0.000438703,0.000438703,0.000438703
72,6099.5,0.51701,0.29464,0.87556,0.92431,0.86089,0.90937,0.6723,0.6517,0.35247,0.97217,0.000424556,0.000424556,0.000424556
73,6184.28,0.50886,0.28757,0.86884,0.9176,0.86843,0.90749,0.67084,0.65121,0.34951,0.97312,0.000410409,0.000410409,0.000410409
74,6268.02,0.51115,0.2921,0.87234,0.91647,0.86495,0.90838,0.67117,0.65271,0.35207,0.97475,0.000396262,0.000396262,0.000396262
